City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Olinda,BR,-8.0089,-34.8553,82.13,65,20,6.91,few clouds
79,Antsiranana,MG,-12.2787,49.2917,75.2,86,23,10.71,few clouds
80,Sur,OM,22.5667,59.5289,90.54,44,0,14.14,clear sky
81,Toliara,MG,-23.35,43.6667,71.19,82,0,6.08,clear sky
82,Afaahiti,PF,-17.75,-149.2833,84.07,76,74,17.98,broken clouds
83,Lebu,CL,-37.6167,-73.65,56.26,98,100,6.87,overcast clouds
84,Kundiawa,PG,-6.0167,144.9667,72.03,80,62,0.89,broken clouds
85,Kanggye,KP,40.9695,126.5852,60.4,52,57,2.53,broken clouds
86,Haiku-Pauwela,US,20.9219,-156.3051,86.02,55,20,14.97,few clouds
87,Papatowai,NZ,-46.5619,169.4708,53.15,82,81,6.87,broken clouds
88,Mushie,CD,-3.0167,16.9,73.72,97,99,3.51,moderate rain
89,Hithadhoo,MV,-0.6,73.0833,82.58,76,100,13.82,overcast clouds
90,Bilibino,RU,68.0546,166.4372,21.54,92,100,6.49,snow
91,Pemba,MZ,-12.974,40.5178,79.5,89,20,4.61,few clouds
92,Tolanaro,MG,-25.0319,46.9987,73.47,88,40,4.61,scattered clouds
93,Mossel Bay,ZA,-34.1831,22.146,53.53,63,84,19.57,light rain
94,Kokoda,PG,-8.8785,147.7407,81.09,82,100,0.43,overcast clouds
95,Tobol,KZ,52.6844,62.5794,47.35,77,62,7.07,broken clouds
96,Powell,US,40.1578,-83.0752,78.21,73,75,6.91,light rain
97,Revelstoke,CA,50.9832,-118.2023,80.62,16,0,2.3,clear sky
98,Taoudenni,ML,22.6783,-3.9836,94.64,9,0,5.44,clear sky
99,Las Tablas,PA,7.7667,-80.2833,84.18,99,100,6.24,overcast clouds
100,Hotan,CN,37.0997,79.9269,64.92,9,100,2.44,overcast clouds
101,Menongue,AO,-14.6585,17.691,57.97,52,5,4.12,clear sky
102,Edinburgh Of The Seven Seas,SH,-37.0676,-12.3116,64.78,93,100,31.14,light rain
103,Urzhar,KZ,47.093,81.6294,62.38,50,35,3.02,scattered clouds
104,Uzgen,KG,40.7699,73.3007,61.09,78,99,5.46,overcast clouds
105,Beidao,CN,34.5686,105.8933,55.9,62,91,3.27,overcast clouds
106,Northam,GB,51.0333,-4.2167,54.61,79,59,9.98,broken clouds
107,Iqaluit,CA,63.7506,-68.5145,28.13,74,100,8.05,overcast clouds
108,Ushuaia,AR,-54.8,-68.3,37.06,70,20,14.97,few clouds
109,Dabou,CI,5.3256,-4.3769,81.37,84,96,8.57,overcast clouds
110,Thompson,CA,55.7435,-97.8558,64.56,25,20,8.05,few clouds
111,Olonkinbyen,SJ,70.9221,-8.7187,34.34,99,100,12.91,snow
112,Vorotynets,RU,56.0603,45.8633,48.11,89,75,4.41,broken clouds
113,Nieuw Amsterdam,SR,5.8833,-55.0833,80.02,90,40,0.0,scattered clouds
114,Eydhafushi,MV,5.1033,73.0708,78.58,88,100,14.72,overcast clouds
115,Vilyuchinsk,RU,52.9306,158.4028,48.47,74,97,6.6,overcast clouds
116,Pastavy,BY,55.1168,26.8326,51.85,68,68,5.14,broken clouds
117,Kudahuvadhoo,MV,2.6708,72.8944,81.66,81,85,18.88,overcast clouds
118,Christchurch,NZ,-43.5333,172.6333,52.41,93,100,2.3,overcast clouds
119,Severo-Yeniseyskiy,RU,60.3725,93.0408,14.77,89,100,8.03,overcast clouds
120,Hammerfest,NO,70.6634,23.6821,43.25,93,75,5.75,broken clouds
121,Alofi,NU,-19.0595,-169.9187,82.29,69,26,6.91,scattered clouds
122,Garachico,ES,28.7781,-17.7646,66.31,64,100,18.41,overcast clouds
123,Bac Lieu,VN,9.285,105.7244,83.59,75,97,4.32,overcast clouds
124,Biltine,TD,14.5333,20.9167,91.22,28,82,3.91,broken clouds
125,Kerman,IR,30.2832,57.0788,58.86,25,0,6.91,clear sky
126,Sydney,AU,-33.8679,151.2073,59.77,84,20,8.05,light rain
127,Aral,CN,40.5156,81.2636,66.11,8,88,6.4,overcast clouds
128,Shitanjing,CN,39.2342,106.3439,59.94,22,12,6.98,few clouds
129,Tiksi,RU,71.6872,128.8694,10.2,87,16,4.99,few clouds
130,Weno,FM,7.4515,151.8468,84.15,89,100,3.44,overcast clouds
131,Kyzyl-Mazhalyk,RU,51.1333,90.6,44.8,75,99,1.36,overcast clouds
132,Mitchell,US,43.7094,-98.0298,73.38,70,75,19.57,broken clouds
133,Ulanhot,CN,46.0833,122.0833,60.28,30,31,15.93,scattered clouds
134,Lorengau,PG,-2.0226,147.2712,80.92,83,100,1.97,overcast clouds
135,Klyuchi,RU,52.2667,79.1667,47.1,53,100,8.59,overcast clouds
136,Aasiaat,GL,68.7098,-52.8699,26.82,81,100,7.96,overcast clouds
137,Ketchikan,US,55.3422,-131.6461,53.58,87,100,11.5,mist
138,Ranau,MY,5.9538,116.6641,73.15,92,94,0.51,overcast clouds
139,Moundou,TD,8.5667,16.0833,84.15,56,96,4.97,overcast clouds
140,Touros,BR,-5.1989,-35.4608,77.32,87,98,9.44,light rain
141,Knyaze-Volkonskoye,RU,48.4642,135.4567,59.34,47,100,12.77,overcast clouds
142,Plainview,US,40.7765,-73.4673,85.48,53,0,11.5,clear sky
143,Villa Canas,AR,-34.0057,-61.6076,64.92,10,26,7.45,scattered clouds
144,Namtsy,RU,62.7161,129.6658,39.0,49,99,7.4,overcast clouds
145,Stanley,GB,54.868,-1.6985,45.79,88,75,3.44,broken clouds
146,Mbandaka,CD,0.0487,18.2603,70.59,97,100,1.81,overcast clouds
147,Port Elizabeth,ZA,-33.918,25.5701,56.32,99,100,4.61,light rain
